fullCity,meanNDVI,ls_Mortality_Rate,ls_Stroke_Rate,ls_Dementia_Rate,popOver20_2023,popOver35_2023,popOver55_2023,geoid,city,state,countyGEOID,standardDevNDVI
"Metairie, Louisiana",0.5641225411381288,277.94091599845166,46.36009944073797,123.48200468461754,87278,71966,32316,NA,Metairie CDP,Louisiana,22051,0.23465560828555487
"Spring Valley, Nevada",0.24524219116547988,67.74184090011329,15.21919903832874,36.956348341552726,161968,128579,49534,NA,Spring Valley CDP,Nevada,32003,0.1635182755920593
"Arlington, Virginia",0.6708312756474186,140.70567674546487,54.09069953750934,158.97509663743412,171286,115896,38180,NA,Arlington CDP,Virginia,51013,0.22311876732571528
"Bayamón zona urbana, Puerto Rico",0.6126977083119342,298.6444198959443,40.69443026908307,140.44881977101562,108191,94239,42512,NA,Bayamón zona urbana,Puerto Rico,72021,0.26789636302114644
"Urban Honolulu, Hawaii",0.7085517540791202,310.2868642787296,59.36042947732753,195.3081555771571,229834,164672,68448,NA,Urban Honolulu CDP,Hawaii,15003,0.2891023899515353
"Enterprise, Nevada",0.19846405124550304,45.48423905793078,10.256167560336054,24.85390267106735,187766,134411,43493,NA,Enterprise CDP,Nevada,32003,0.1266782547712763
"Paradise, Nevada",0.24811578528986136,69.1230377975142,15.526004904878286,37.706102394077234,137970,118965,45261,NA,Paradise CDP,Nevada,32003,0.18251455131536556
"Sunrise Manor, Nevada",0.20645109148570048,49.25454241829884,11.099404061947812,26.90670023527859,131788,103200,39199,NA,Sunrise Manor CDP,Nevada,32003,0.14124122440622472
"San Juan zona urbana, Puerto Rico",0.538141373165165,251.23763444605714,34.44259405777445,118.4718385257842,203819,167819,75693,NA,San Juan zona urbana,Puerto Rico,72127,0.27894368666066627
"Paterson city, New Jersey",0.5313767270345415,190.08855309554443,35.64429877160099,119.88013160706232,97787,75418,28685,NA,Paterson city,New Jersey,34031,0.2467097022945012
"Jersey  city, New Jersey",0.4240878488056603,92.23935137257907,26.411198320068475,88.40119738116469,204733,137748,44962,NA,Jersey City city,New Jersey,34017,0.2793281342829311
"Yonkers city, New York",0.6859916489533987,255.6832213492469,45.18218686951325,182.05524380263276,134876,103098,42954,NA,Yonkers city,New York,36119,0.2393811908879052
"Alexandria city, Virginia",0.6437002905845932,156.33643339990687,51.33856931253052,150.70007077429756,113428,96483,31937,NA,Alexandria city,Virginia,51510,0.23220543727000328
"Fullerton city, California",0.4536295381662837,144.72254139452062,30.164836143852984,121.36378440351785,103861,84534,34244,NA,Fullerton city,California,06059,0.23757301942647163
"Pomona city, California",0.45651457515242544,144.83197618072478,30.422236021055213,122.41517918471789,101403,82551,32373,NA,Pomona city,California,06037,0.2521142582522543
"Salinas city, California",0.6098734536621333,212.66704129795409,44.37965452721302,179.81549804795955,99148,66377,23041,NA,Salinas city,California,06053,0.2795638582959403
"Santa Ana city, California",0.3804321313655446,113.02825035118211,23.69690500598574,95.0307364515464,219047,159563,57527,NA,Santa Ana city,California,06059,0.21740685199122772
"Bridgeport city, Connecticut",0.6118406744306328,NA,42.44475762230196,149.64208102276484,116768,77074,30622,NA,Bridgeport city,Connecticut,09120,0.2524051775522478
"Hialeah city, Florida",0.4330691166274165,147.09874164439003,30.319604810417157,98.87187149840301,159227,130871,55908,NA,Hialeah city,Florida,12086,0.2726034802716905
"Springfield city, Massachusetts",0.732909476128446,411.41152069004755,51.06485877044551,191.81769986099823,97293,77030,31974,NA,Springfield city,Massachusetts,25013,0.21774087191451472
"Worcester city, Massachusetts",0.7512437050401608,346.90178351783044,52.66984668611937,198.01324028354415,137401,96495,40010,NA,Worcester city,Massachusetts,25027,0.22123399767439952
"Providence city, Rhode Island",0.6178529748719896,271.93851660363117,41.48545279372942,148.8224681303857,126608,95923,35691,NA,Providence city,Rhode Island,44007,0.24675773900821735
"Tempe city, Arizona",0.37470227071725737,126.93946362771155,22.722846089425385,76.57839467583946,139288,82994,32148,NA,Tempe city,Arizona,04013,0.21155193081074333
"Elk Grove city, California",0.6470600862056426,276.69507681665203,47.84670102573152,194.1909480910341,113654,98396,36714,NA,Elk Grove city,California,06067,0.23481602850106903
"Garden Grove city, California",0.3909053969178344,117.50529604964652,24.615001806108594,98.75845518374524,141590,115700,48055,NA,Garden Grove city,California,06059,0.21006477143649052
"Glendale city, California",0.6038801021978228,211.13467486734288,43.82392815680329,177.5155828461255,128084,109784,45080,NA,Glendale city,California,06037,0.27133399985986645
"Huntington Beach city, California",0.40604930368191944,124.01286089539735,25.94685509218082,104.17212214740002,134830,106767,48702,NA,Huntington Beach city,California,06059,0.2391294892988386
"Ontario city, California",0.39454100062073166,129.36173489430547,24.934273511824536,100.05557345254176,117893,109594,40131,NA,Ontario city,California,06071,0.2644135128233824
"Rancho Cucamonga city, California",0.4281217683342275,145.12254326701236,27.897242451549257,112.11273726994472,116789,99137,39409,NA,Rancho Cucamonga city,California,06071,0.220338758658941
"Sunnyvale city, California",0.4833467103341899,125.16877547547152,32.82522045488984,132.24320658790316,129093,82959,28162,NA,Sunnyvale city,California,06085,0.2230482916910548
"Torrance city, California",0.4023406420640304,121.4433988504069,25.620217847865458,102.84376429770403,93118,95010,39797,NA,Torrance city,California,06037,0.2437712477986076
"Washington city, District of Columbia",0.6327730362444097,218.75329154589673,45.28586149429619,156.07630868298045,471408,276583,94097,NA,Washington city,District of Columbia,11001,0.24309218786019943
"Pembroke Pines city, Florida",0.6394991367251169,257.7509659327178,50.43915978088636,166.01799108645145,114035,112393,48056,NA,Pembroke Pines city,Florida,12011,0.25733691860075303
"Baltimore city, Maryland",0.5700202596639997,309.7002667267735,46.134604956336794,127.98343406812407,384524,277692,115004,NA,Baltimore city,Maryland,24510,0.26640119241317495
"Minneapolis city, Minnesota",0.610616066921203,230.11404160103885,46.22948187993614,150.73386291735326,300594,188210,67771,NA,Minneapolis city,Minnesota,27053,0.23440349417495027
"St. Paul city, Minnesota",0.6488017874233318,299.39946483961853,49.93349094258188,163.0937485324812,202130,139273,54374,NA,St. Paul city,Minnesota,27123,0.23545600271571865
"St. Louis city, Missouri",0.5515090374885886,268.11200893264254,44.37812870128276,130.65240710704094,203739,146197,60717,NA,St. Louis city,Missouri,29510,0.2628325962297455
"Newark city, New Jersey",0.4294241711585988,135.40336052599687,26.864515446873195,89.93989083261785,201016,156556,55809,NA,Newark city,New Jersey,34013,0.26708417112158245
"Buffalo city, New York",0.5904111261935985,304.0480726003335,37.34633937842976,149.82912152171625,183273,124643,53847,NA,Buffalo city,New York,36029,0.23929417403840336
"Syracuse city, New York",0.7011478305417815,365.07756880715283,46.442271025338535,187.26227170003585,92407,67516,29639,NA,Syracuse city,New York,36067,0.22470563828898515
"Bellevue city, Washington",0.7639242107682603,264.6140209619147,58.34580093550401,185.08228498452857,111329,92038,32093,NA,Bellevue city,Washington,53033,0.2227246434810954
"Anaheim city, California",0.46278581292399174,148.75424321705717,30.982399675897454,124.70417045664806,254960,198152,76373,NA,Anaheim city,California,06059,0.2562120350415059
"Chula Vista city, California",0.5717051553136636,196.29502634011996,40.85495335949891,165.24846544521924,194397,141101,51611,NA,Chula Vista city,California,06073,0.26154721118874685
"Corona city, California",0.5452888271122651,211.02687875094742,38.43542169513057,155.27678623528683,117287,92085,34491,NA,Corona city,California,06065,0.2631651518764411
"Fontana city, California",0.39850066973008114,131.20895089846493,25.282339372369215,101.47013875572756,155237,117763,39124,NA,Fontana city,California,06071,0.2407817815192829
"Fremont city, California",0.563599303417088,174.09189810782257,40.11079387980181,162.17911992629115,152536,139339,49726,NA,Fremont city,California,06001,0.26338001962001273
"Hayward city, California",0.5692067028516262,176.4057829506247,40.62541913874684,164.30150399534764,123926,101154,40748,NA,Hayward city,California,06001,0.26747110338691504
"Irvine city, California",0.5692857812812361,196.77237173623442,40.632681887669335,164.33146390596383,211380,147527,47860,NA,Irvine city,California,06059,0.25311812663346694
"Long Beach city, California",0.3966296490050935,119.00778805799031,25.117827881402626,100.80149165371373,314566,240208,93034,NA,Long Beach city,California,06037,0.24875751751808411
"Moreno Valley city, California",0.5434914342327961,210.09565503681773,38.271383120123744,154.60155384681116,139864,88468,30925,NA,Moreno Valley city,California,06065,0.26398821137821166
"Oakland city, California",0.526488870235809,158.91113311741887,36.723345499476565,148.23452942935998,303971,230287,81065,NA,Oakland city,California,06001,0.2852856085959316
"Oceanside city, California",0.5707778383688462,195.87086834073406,40.76974324692416,164.89690059048664,131847,96027,38534,NA,Oceanside city,California,06073,0.24592178069777595
"Oxnard city, California",0.5164799554327362,194.45956481727364,35.81517988937473,144.50363156707434,132279,94514,34517,NA,Oxnard city,California,06111,0.2734679710470209
"Riverside city, California",0.5295618019485197,202.90187534137593,37.002633261267306,149.38253882099863,225447,150188,54650,NA,Riverside city,California,06065,0.24806401994736613
"Roseville city, California",0.6282262490310281,280.4973806731188,46.08666323885539,186.88751635545017,103558,85322,33131,NA,Roseville city,California,06061,0.2512588344924119
"Santa Clarita city, California",0.544219377491886,183.81071951084365,38.33780964778226,154.87497289793046,150423,117779,45082,NA,Santa Clarita city,California,06037,0.2533238733230189
"Cape Coral city, Florida",0.7028747927446717,347.70491981861005,56.830531459948446,187.59643973005242,136040,105096,52815,NA,Cape Coral city,Florida,12071,0.21671001897150363
"Fort Lauderdale city, Florida",0.5354132377819543,203.5067452896847,40.162751666347305,131.5724063133945,143330,121102,52664,NA,Fort Lauderdale city,Florida,12011,0.25223703529317343
"Hollywood city, Florida",0.5677035609693586,220.08887118388628,43.32177773941676,142.12817886010825,109372,101689,40394,NA,Hollywood city,Florida,12011,0.2721672651917104
"Miami city, Florida",0.49311536657065264,175.81210940612166,36.063646467597074,117.9194127405875,320587,228939,86029,NA,Miami city,Florida,12086,0.26728639958267375
"Columbus city, Georgia",0.7705866758659834,447.06932976874634,67.24188472371402,179.90567582336234,128904,92056,37354,NA,Columbus city,Georgia,13215,0.18122366498608572
"Kansas  city, Kansas",0.7347536658062721,405.7621603691953,63.47246092536226,186.0550749247957,97288,72145,28120,NA,Kansas City city,Kansas,20209,0.23712897820645695
"Grand Rapids city, Michigan",0.6660550579776712,269.7279466909501,54.018869834322466,162.77662740254874,143393,99322,38641,NA,Grand Rapids city,Michigan,26081,0.22159155964319444
"Rochester city, New York",0.6077180549313171,292.25475063650754,38.751131331379725,155.5869416214704,153759,116645,49040,NA,Rochester city,New York,36055,0.2470171802280055
"Toledo city, Ohio",0.6599473214779186,370.43162730087613,55.54044153963268,161.5417734268453,179228,121430,53201,NA,Toledo city,Ohio,39095,0.24897480973507088
"Philadelphia city, Pennsylvania",0.5420939028612968,238.28780499646575,41.130922065539195,129.3511515817026,1047038,682737,276501,NA,Philadelphia city,Pennsylvania,42101,0.2882348713206976
"Clarksville city, Tennessee",0.7562236185391593,290.1763345867343,68.9279768441524,187.86540540951208,125312,74459,25373,NA,Clarksville city,Tennessee,47125,0.196943657065249
"Arlington city, Texas",0.5787622245907635,202.16154386648697,44.39846129397392,121.9998300151716,284709,201593,74918,NA,Arlington city,Texas,48439,0.23883203256970428
"Frisco city, Texas",0.5559250000163543,135.40091381760828,42.15584823866596,115.7180461482021,155382,136851,33762,NA,Frisco city,Texas,48085,0.2247037052119159
"Garland city, Texas",0.6512531649409153,229.6002790100646,51.60380250175238,142.26616380441337,175791,133768,53013,NA,Garland city,Texas,48113,0.21655167889280896
"Irving city, Texas",0.5476346144394374,182.40970226876294,41.34494405601439,113.44967530549525,175009,114242,35158,NA,Irving city,Texas,48113,0.2576887227799475
"Mesquite city, Texas",0.6953814365535487,250.31146794570412,56.05535675682869,154.8500880176188,116093,91458,34092,NA,Mesquite city,Texas,48113,0.2079689989486896
"Plano city, Texas",0.5557127608613085,135.33183845452947,42.135067284318,115.65989458115584,206358,174255,64853,NA,Plano city,Texas,48085,0.2252819160578101
"Newport News city, Virginia",0.6947643618474131,345.074958764885,56.534222756959664,166.3384265011735,119009,89377,36726,NA,Newport News city,Virginia,51700,0.2423789512848029
"Norfolk city, Virginia",0.5505128459229753,240.9945700964527,42.02881108514051,122.85233189593946,160198,99571,41989,NA,Norfolk city,Virginia,51710,0.28712576273215895
"Richmond city, Virginia",0.7069138011989492,305.80156886715747,57.78034972653719,170.09936567641972,158978,118667,48984,NA,Richmond city,Virginia,51760,0.2299868576135353
"Seattle city, Washington",0.6301821239556866,205.39171102792307,45.78871918879934,144.36360430245813,558979,332072,110415,NA,Seattle city,Washington,53033,0.24903893153865375
"Tacoma city, Washington",0.5910617924394032,250.48888043002313,42.195561378736244,132.79916570781444,167691,120068,47426,NA,Tacoma city,Washington,53053,0.25299695727925653
"Birmingham city, Alabama",0.857541754871565,547.758957881506,88.09674588441669,220.15175303499228,204632,147234,62191,NA,Birmingham city,Alabama,01073,0.21573840668285385
"Huntsville city, Alabama",0.7266401465406507,356.74192435425215,71.63831556555348,177.94468557268664,195351,142960,60804,NA,Huntsville city,Alabama,01089,0.23510517352411056
"Mobile city, Alabama",0.7689108330201209,492.41904683581936,76.89340000002184,191.36924995837606,142782,103237,45911,NA,Mobile city,Alabama,01097,0.22472782026494983
"Montgomery city, Alabama",0.7119291986133603,397.5913025313747,69.82263885095053,173.31779694966752,132316,88740,38094,NA,Montgomery city,Alabama,01101,0.1909144603599553
"Anchorage municipality, Alaska",0.5710176745062523,213.57725112261065,41.23250343526923,106.30400976791351,191960,124929,49026,NA,Anchorage municipality,Alaska,02020,0.3694670478389708
"Chandler city, Arizona",0.40920117412469464,143.91113196150965,25.690147493436854,86.7113103176257,193521,147910,53434,NA,Chandler city,Arizona,04013,0.2289992298592791
"Gilbert town, Arizona",0.4528148140868529,165.7117056229907,29.47880131930741,99.69275790662094,172492,144209,46460,NA,Gilbert town,Arizona,04013,0.23637208765495743
"Glendale city, Arizona",0.3479201274826529,113.92785592959655,20.437123746306803,68.79360915070212,195619,147203,56296,NA,Glendale city,Arizona,04013,0.21935295420150452
"Mesa city, Arizona",0.37776795890461007,128.43796555017587,22.98547978597836,77.47403301703123,345688,248335,103120,NA,Mesa city,Arizona,04013,0.2069122115744962
"Peoria city, Arizona",0.3227998050466889,101.85222730370415,18.30730568398913,61.556046692504054,139827,118193,52208,NA,Peoria city,Arizona,04013,0.20024377086246667
"Phoenix city, Arizona",0.3891231307473804,134.0047155243072,23.960045575113053,80.7995864079674,1082936,735754,270630,NA,Phoenix city,Arizona,04013,0.2034956514802019
"Scottsdale city, Arizona",0.4627244271994135,170.7194407936443,30.345498272069136,102.66926873699806,163261,143310,70967,NA,Scottsdale city,Arizona,04013,0.17895435345577584
"Surprise city, Arizona",0.35122402704682343,115.52531278498017,20.718255621744788,69.75012538733593,101163,86040,35783,NA,Surprise city,Arizona,04013,0.17987341855140981
"Tucson city, Arizona",0.3696557168318209,159.0491628822638,22.29095895117191,75.10608083505956,392754,248684,105407,NA,Tucson city,Arizona,04019,0.16904399639276765
"Little Rock city, Arkansas",0.7081835914463593,385.9379713249044,70.5169783591108,184.64646912860783,133113,94310,36809,NA,Little Rock city,Arkansas,05119,0.2045707105850376
"Bakersfield city, California",0.7314840658044304,337.0219107303635,55.84040824661457,227.5102433027526,303830,198937,72826,NA,Bakersfield city,California,06029,0.28037429574171746
"Escondido city, California",0.5035693051809692,165.55306868792536,34.647125735581184,139.709813389954,113914,81137,33590,NA,Escondido city,California,06073,0.22301402623188044
"Fresno city, California",0.47201903927946753,177.91129435963978,31.808760590187408,128.08318266474362,372747,243912,91999,NA,Fresno city,California,06019,0.2319238220526798
"Lancaster city, California",0.4685354024893586,150.0922353358203,31.496752415583106,126.80705620096441,112812,84056,34223,NA,Lancaster city,California,06037,0.223305548333653
"Los Angeles city, California",0.5151558241122327,170.73906059116,35.69520665946467,144.01100248222735,2660611,1868456,695903,NA,Los Angeles city,California,06037,0.28043847867037697
"Modesto city, California",0.5442531564341658,237.23396802094163,38.340892353390004,154.8876620778899,152853,105632,41721,NA,Modesto city,California,06099,0.2100318360509187
"Palmdale city, California",0.450167018322225,142.06471072759808,29.85616263250029,120.1032990101334,109500,88133,35451,NA,Palmdale city,California,06037,0.20218469282683327
